inventory_key,date_key,sku_key,store_key,stock_on_hand,stock_in_transit,allocated_stock,stock_out_flag,days_out_of_stock
1,20260226,1,1,198,0,9,False,0
2,20260226,2,1,252,0,12,False,0
3,20260226,3,1,249,0,12,False,0
4,20260226,4,1,169,0,8,False,0
5,20260226,5,1,118,0,5,False,0
6,20260226,6,1,167,0,8,False,0
7,20260226,7,1,248,0,12,False,0
8,20260226,8,1,189,0,9,False,0
9,20260226,9,1,200,0,10,False,0
10,20260226,10,1,236,0,11,False,0
11,20260226,11,1,225,0,11,False,0
12,20260226,12,1,165,0,8,False,0
13,20260226,13,1,192,0,9,False,0
14,20260226,14,1,221,0,11,False,0
15,20260226,15,1,100,0,5,False,0
16,20260226,16,1,193,0,9,False,0
17,20260226,17,1,130,0,6,False,0
18,20260226,18,1,121,0,6,False,0
19,20260226,19,1,288,0,14,False,0
20,20260226,20,1,128,0,6,False,0
21,20260226,21,1,268,0,13,False,0
22,20260226,22,1,295,0,14,False,0
23,20260226,23,1,173,0,8,False,0
24,20260226,24,1,238,0,11,False,0
25,20260226,25,1,165,0,8,False,0
26,20260226,26,1,143,0,7,False,0
27,20260226,27,1,194,0,9,False,0
28,20260226,28,1,180,0,9,False,0
29,20260226,29,1,102,0,5,False,0
30,20260226,30,1,281,0,14,False,0
31,20260226,31,1,225,0,11,False,0
32,20260226,32,1,207,0,10,False,0
33,20260226,33,1,214,0,10,False,0
34,20260226,34,1,131,0,6,False,0
35,20260226,35,1,180,0,9,False,0
36,20260226,36,1,170,0,8,False,0
37,20260226,37,1,159,0,7,False,0
38,20260226,38,1,261,0,13,False,0
39,20260226,39,1,165,0,8,False,0
40,20260226,40,1,102,0,5,False,0
41,20260226,41,1,145,0,7,False,0
42,20260226,42,1,224,0,11,False,0
43,20260226,43,1,184,0,9,False,0
44,20260226,44,1,246,0,12,False,0
45,20260226,45,1,261,0,13,False,0
46,20260226,46,1,282,0,14,False,0
47,20260226,47,1,217,0,10,False,0
48,20260226,48,1,157,0,7,False,0
49,20260226,49,1,198,0,9,False,0
50,20260226,50,1,240,0,12,False,0
51,20260226,51,1,297,0,14,False,0
52,20260226,52,1,264,0,13,False,0
53,20260226,53,1,143,0,7,False,0
54,20260226,54,1,152,0,7,False,0
55,20260226,55,1,127,0,6,False,0
56,20260226,56,1,249,0,12,False,0
57,20260226,57,1,191,0,9,False,0
58,20260226,58,1,199,0,9,False,0
59,20260226,59,1,289,0,14,False,0
60,20260226,60,1,120,0,6,False,0
61,20260226,61,1,273,0,13,False,0
62,20260226,62,1,209,0,10,False,0
63,20260226,63,1,204,0,10,False,0
64,20260226,64,1,207,0,10,False,0
65,20260226,65,1,221,0,11,False,0
66,20260226,66,1,109,0,5,False,0
67,20260226,67,1,180,0,9,False,0
68,20260226,68,1,157,0,7,False,0
69,20260226,69,1,111,0,5,False,0
70,20260226,70,1,183,0,9,False,0
71,20260226,71,1,152,0,7,False,0
72,20260226,72,1,192,0,9,False,0
73,20260226,73,1,284,0,14,False,0
74,20260226,74,1,170,0,8,False,0
75,20260226,75,1,181,0,9,False,0
76,20260226,76,1,210,0,10,False,0
77,20260226,77,1,137,0,6,False,0
78,20260226,78,1,130,0,6,False,0
79,20260226,79,1,280,0,14,False,0
80,20260226,80,1,155,0,7,False,0
81,20260226,81,1,241,0,12,False,0
