transaction_id,card_id,account_id,terminal_id,amount,currency,transaction_timestamp,transaction_type,response_code,channel,ip_address,is_fraud,fraud_label_method
TXN_0000001,CARD_0305,ACC_0136,TERM_0078,1546.33,INR,2026-05-21 14:08:36,ATM,00,Chip-and-PIN,0.0.0.0,False,None
TXN_0000002,CARD_0440,ACC_0268,TERM_0092,2238.79,INR,2026-04-20 05:59:42,Online,00,CNP,192.168.150.61,False,None
TXN_0000003,CARD_0239,ACC_0409,TERM_0242,569.16,INR,2026-05-22 12:34:40,POS,00,Swipe,0.0.0.0,False,None
TXN_0000004,CARD_0108,ACC_0482,TERM_0016,1685.54,INR,2026-05-25 13:15:20,POS,00,Swipe,0.0.0.0,False,None
TXN_0000005,CARD_1090,ACC_0952,TERM_0191,320.55,INR,2026-05-01 10:08:46,POS,00,Swipe,0.0.0.0,False,None
TXN_0000006,CARD_1153,ACC_1180,TERM_0162,264.56,INR,2026-04-14 01:16:41,Transfer,00,Chip-and-PIN,0.0.0.0,False,None
TXN_0000007,CARD_1029,ACC_0542,TERM_0044,2200.26,INR,2026-04-01 17:03:32,ATM,00,Chip-and-PIN,0.0.0.0,False,None
TXN_0000008,CARD_0608,ACC_1056,TERM_0064,1257.76,INR,2026-04-13 23:20:01,POS,00,Swipe,0.0.0.0,False,None
TXN_0000009,CARD_1019,ACC_0826,TERM_0180,278.53,INR,2026-05-17 21:12:30,Transfer,00,Chip-and-PIN,0.0.0.0,False,None
TXN_0000010,CARD_0735,ACC_1177,TERM_0061,387.9,INR,2026-05-12 07:26:34,Online,51,CNP,192.168.70.146,False,None
TXN_0000011,CARD_0852,ACC_0518,TERM_0223,2155.8,INR,2026-05-15 17:13:20,ATM,00,Chip-and-PIN,0.0.0.0,False,None
TXN_0000012,CARD_0694,ACC_0539,TERM_0058,2346.73,INR,2026-04-06 12:29:12,Online,00,CNP,192.168.45.228,False,None
TXN_0000013,CARD_0351,ACC_0462,TERM_0049,490.3,INR,2026-04-20 03:06:48,Online,00,CNP,192.168.167.188,False,None
TXN_0000014,CARD_0825,ACC_0058,TERM_0054,443.47,INR,2026-04-05 13:59:49,POS,00,Swipe,0.0.0.0,False,None
TXN_0000015,CARD_0768,ACC_0966,TERM_0077,73.6,INR,2026-05-25 21:49:29,POS,00,Swipe,0.0.0.0,False,None
TXN_0000016,CARD_0618,ACC_0596,TERM_0100,4065.19,INR,2026-05-09 08:09:26,ATM,00,Chip-and-PIN,0.0.0.0,False,None
TXN_0000017,CARD_0993,ACC_0236,TERM_0014,1948.69,INR,2026-04-22 17:17:26,ATM,00,Chip-and-PIN,0.0.0.0,False,None
TXN_0000018,CARD_0755,ACC_1188,TERM_0268,720.89,INR,2026-05-21 10:53:14,POS,51,Swipe,0.0.0.0,False,None
TXN_0000019,CARD_0851,ACC_0475,TERM_0232,1433.35,INR,2026-05-11 16:00:01,Online,51,CNP,192.168.202.177,False,None
TXN_0000020,CARD_0703,ACC_0020,TERM_0183,1038.56,INR,2026-05-21 02:28:12,ATM,00,Chip-and-PIN,0.0.0.0,False,None
TXN_0000021,CARD_0972,ACC_0494,TERM_0049,582.74,INR,2026-04-29 01:22:58,Online,00,CNP,192.168.58.84,False,None
